[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/home/incall/.pm2/pm2.log last 200 lines:
PM2        | 2026-04-05T01:07:22: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T01:07:22: PM2 log: pid=4090411 msg=process killed
PM2        | 2026-04-05T01:07:22: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T01:07:22: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T01:19:12: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T01:19:12: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T01:19:12: PM2 log: pid=4090930 msg=process killed
PM2        | 2026-04-05T01:19:12: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T01:19:12: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-05T01:28:29: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-05T01:28:29: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-05T01:28:29: PM2 log: pid=4091930 msg=process killed
PM2        | 2026-04-05T01:28:29: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-05T01:28:29: PM2 log: App [inside.tsol.vn:0] online

/home/incall/.pm2/logs/makevideo-ai-out.log last 200 lines:
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 993ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1012ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 952ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1324ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1080ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1073ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1072ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1057ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1112ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1049ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1021ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
